2019-04-07 14:07:22,296 [1] DEBUG MyServer-19515494 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,322 [1] DEBUG MyServer-19515494 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,323 [1] DEBUG MyServer-19515494 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,323 [1] DEBUG MyServer-19515494 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,324 [1] DEBUG MyServer-19515494 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,324 [1] DEBUG MyServer-19515494 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,324 [1] DEBUG MyServer-19515494 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,325 [1] DEBUG MyServer-19515494 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,325 [1] DEBUG MyServer-19515494 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:07:22,667 [1] DEBUG MyServer-19515494 - Listener (0.0.0.0:3001) was started
2019-04-07 14:17:17,255 [1] DEBUG MyServer-720107 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,278 [1] DEBUG MyServer-720107 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,278 [1] DEBUG MyServer-720107 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,278 [1] DEBUG MyServer-720107 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,279 [1] DEBUG MyServer-720107 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,279 [1] DEBUG MyServer-720107 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,279 [1] DEBUG MyServer-720107 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,279 [1] DEBUG MyServer-720107 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,280 [1] DEBUG MyServer-720107 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:17:17,314 [1] DEBUG MyServer-720107 - Listener (0.0.0.0:3001) was started
2019-04-07 14:20:37,236 [1] DEBUG MyServer-25342185 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,266 [1] DEBUG MyServer-25342185 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,266 [1] DEBUG MyServer-25342185 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,266 [1] DEBUG MyServer-25342185 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,266 [1] DEBUG MyServer-25342185 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,267 [1] DEBUG MyServer-25342185 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,267 [1] DEBUG MyServer-25342185 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,267 [1] DEBUG MyServer-25342185 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,267 [1] DEBUG MyServer-25342185 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:20:37,303 [1] DEBUG MyServer-25342185 - Listener (0.0.0.0:3001) was started
2019-04-07 14:21:02,948 [1] DEBUG MyServer-16578980 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,973 [1] DEBUG MyServer-16578980 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,973 [1] DEBUG MyServer-16578980 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,973 [1] DEBUG MyServer-16578980 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,974 [1] DEBUG MyServer-16578980 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,974 [1] DEBUG MyServer-16578980 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,974 [1] DEBUG MyServer-16578980 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,974 [1] DEBUG MyServer-16578980 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:02,974 [1] DEBUG MyServer-16578980 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 14:21:03,010 [1] DEBUG MyServer-16578980 - Listener (0.0.0.0:3001) was started
2019-04-07 17:19:03,821 [1] DEBUG MyServer-26987408 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-07 17:19:03,869 [1] DEBUG MyServer-26987408 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
