2019-04-05 17:39:24,830 [1] DEBUG MyServer-26753075 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,853 [1] DEBUG MyServer-26753075 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,854 [1] DEBUG MyServer-26753075 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,854 [1] DEBUG MyServer-26753075 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,855 [1] DEBUG MyServer-26753075 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,856 [1] DEBUG MyServer-26753075 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,856 [1] DEBUG MyServer-26753075 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,856 [1] DEBUG MyServer-26753075 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,856 [1] DEBUG MyServer-26753075 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 17:39:24,970 [1] DEBUG MyServer-26753075 - Listener (0.0.0.0:3001) was started
2019-04-05 20:05:35,039 [1] DEBUG MyServer-44115416 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,095 [1] DEBUG MyServer-44115416 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,096 [1] DEBUG MyServer-44115416 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,096 [1] DEBUG MyServer-44115416 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,096 [1] DEBUG MyServer-44115416 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,097 [1] DEBUG MyServer-44115416 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,097 [1] DEBUG MyServer-44115416 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,097 [1] DEBUG MyServer-44115416 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,097 [1] DEBUG MyServer-44115416 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:05:35,318 [1] DEBUG MyServer-44115416 - Listener (0.0.0.0:3001) was started
2019-04-05 20:10:19,966 [1] DEBUG MyServer-44115416 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:10:19,995 [1] DEBUG MyServer-44115416 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:10:19,995 [1] DEBUG MyServer-44115416 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:10:19,995 [1] DEBUG MyServer-44115416 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-04-05 20:10:19,996 [1] DEBUG MyServer-44115416 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
